Londuimbali	Huambo	AO	-12° 14' 14"	 15° 19' 01"	1.0	--	-10	17000	3347880
Longonjo	Huambo	AO	-12° 54' 29"	 15° 14' 54"	1.0	--	-10	23000	3347853
Mungo	Huambo	AO	-11° 49' 58"	 16° 14' 10"	1.0	--	-10	21662	3347111
Ucuma	Huambo	AO	-12° 57' 40"	 15° 03' 34"	1.0	--	-10	21809	3345668
Caluquembe	Huila	AO	-13° 52' 00"	 14° 26' 00"	1.0	--	-10	31000	3351023
Lubango	Huila	AO	-14° 55' 02"	 13° 29' 33"	1.0	--	-10	600751	3347762
Matala	Huila	AO	-14° 43' 58"	 15° 02' 05"	1.0	--	-10	78000	3347424
Quipungo	Huila	AO	-14° 49' 09"	 14° 32' 06"	1.0	--	-10	23014	3346497
Calulo	Kwanza Sul	AO	-10° 00' 02"	 14° 53' 43"	1.0	--	-10	44000	3351064
Capunda	Kwanza Sul	AO	-11° 08' 00"	 14° 28' 00"	1.0	--	-10	21260	3350550
Cela	Kwanza Sul	AO	-11° 25' 18"	 15° 07' 24"	1.0	--	-10	90000	3350123
Conda	Kwanza Sul	AO	-11° 06' 31"	 14° 20' 10"	1.0	--	-10	21260	3349324
Gabela	Kwanza Sul	AO	-10° 51' 05"	 14° 22' 48"	1.0	--	-10	116903	3348613
Mussende	Kwanza Sul	AO	-10° 30' 51"	 16° 01' 12"	1.0	--	-10	33558	2239149
Porto Amboim	Kwanza Sul	AO	-10° 43' 57"	 13° 46' 06"	1.0	--	-10	91605	3346661
Quibala	Kwanza Sul	AO	-10° 44' 01"	 14° 58' 48"	1.0	--	-10	27128	3346598
Quissecula	Kwanza Sul	AO	-11° 23' 32"	 15° 05' 31"	1.0	--	-10	90000	7860624
Santa Clara	Kwanza Sul	AO	-10° 11' 30"	 15° 26' 03"	1.0	--	-10	29000	7855993
Sumbe	Kwanza Sul	AO	-11° 12' 22"	 13° 50' 37"	1.0	--	-10	205832	3346015
Ucu Seles	Kwanza Sul	AO	-11° 24' 45"	 14° 18' 24"	1.0	--	-10	47421	3345669
Cazenga	Luanda	AO	-8° 50' 17"	 13° 17' 02"	1.0	--	-10	424528	2591949
Ingombota	Luanda	AO	-8° 49' 05"	 13° 13' 44"	1.0	--	-10	370000	10627325
Luanda	Luanda	AO	-8° 50' 13"	 13° 14' 04"	1.0	--	-10	2776168	2240449
Maianga	Luanda	AO	-8° 50' 49"	 13° 14' 13"	1.0	--	-10	319000	2239888
Rangel	Luanda	AO	-8° 49' 35"	 13° 15' 46"	1.0	--	-10	261000	13546341
Samba	Luanda	AO	-8° 50' 17"	-8° 50' 17"	1.0	--	-10	54000	13546342
Sambizanga	Luanda	AO	-8° 47' 20"	 13° 16' 30"	1.0	--	-10	244000	13546343
Talatona	Luanda	AO	-8° 55' 04"	 13° 11' 08"	1.0	--	-10	500000	2591976
Cafunfo	Luanda Norte	AO	-8° 46' 02"	 17° 59' 45"	1.0	--	-10	90000	7768322
Cassanguidi	Luanda Norte	AO	-7° 29' 01"	 21° 18' 12"	1.0	--	-10	20000	145872
Chitato	Luanda Norte	AO	-7° 18' 00"	 20° 44' 00"	1.0	--	-10	246880	145778
Cuango-Luzamba	Luanda Norte	AO	-9° 08' 45"	 18° 02' 40"	1.0	--	-10	55000	2241668
Cuilo	Luanda Norte	AO	-8° 14' 10"	 19° 31' 32"	1.0	--	-10	26577	2241635
Dundo	Luanda Norte	AO	-7° 21' 59"	 20° 48' 56"	1.0	--	-10	177604	145757
Lubalo	Luanda Norte	AO	-9° 09' 16"	 19° 16' 53"	1.0	--	-10	26103	2240416
Lucapa	Luanda Norte	AO	-8° 25' 09"	 20° 44' 41"	1.0	--	-10	110000	145724
Saurimo	Lunda Sul	AO	-9° 39' 39"	 20° 23' 30"	1.0	--	-10	393000	145531
Bailundo	Malanje	AO	-9° 34' 30"	 15° 59' 40"	1.0	--	-10	70481	2243866
Cacuso	Malanje	AO	-9° 25' 16"	 15° 44' 48"	1.0	--	-10	39302	2243127
Cambundi	Malanje	AO	-7° 28' 07"	 17° 02' 16"	1.0	--	-10	17212	7745410
Cambundi	Malanje	AO	-10° 53' 41"	 17° 45' 50"	1.0	--	-10	17212	7900710
Cambundi Catembo	Malanje	AO	-10° 04' 31"	 17° 33' 02"	1.0	--	-10	17212	3350917
Cangandala	Malanje	AO	-9° 47' 00"	 16° 26' 00"	1.0	--	-10	16232	2242584
Cunda dia Baze	Malanje	AO	-8° 54' 28"	 17° 03' 12"	1.0	--	-10	15965	2240686
Luquembo	Malanje	AO	-10° 44' 21"	 17° 43' 04"	1.0	--	-10	69420	3347615
Malanje	Malanje	AO	-9° 32' 25"	 16° 20' 27"	1.0	--	-10	455000	2239862
Cazombo	Moxico	AO	-11° 53' 57"	 22° 54' 08"	1.0	--	-10	34000	876482
Luau	Moxico	AO	-10° 42' 26"	 22° 13' 29"	1.0	--	-10	55432	876177
Luena	Moxico	AO	-11° 47' 00"	 19° 55' 00"	1.0	--	-10	273675	3347719
Lumbala	Moxico	AO	-14° 06' 06"	 21° 26' 07"	1.0	--	-10	19000	876130
Camucuio	Namibe	AO	-14° 07' 00"	 13° 15' 00"	1.0	--	-10	66112	3350867
Mossamedes	Namibe	AO	-15° 11' 46"	 12° 09' 08"	1.0	--	-10	255000	3347019
Tombua	Namibe	AO	-15° 48' 14"	 11° 50' 41"	1.0	--	-10	46573	3345790
Virei	Namibe	AO	-15° 43' 37"	 12° 56' 59"	1.0	--	-10	42607	3345517
Maquela do Zombo	Uige	AO	-6° 03' 26"	 15° 06' 35"	1.0	--	-10	42000	2239732
Negage	Uige	AO	-7° 45' 34"	 15° 16' 20"	1.0	--	-10	92950	2239069
Sanza Pombo	Uige	AO	-7° 18' 53"	 16° 00' 09"	1.0	--	-10	23000	2237128
Songo	Uige	AO	-7° 21' 07"	 14° 50' 47"	1.0	--	-10	31382	2236991
Uige	Uige	AO	-7° 36' 31"	 15° 03' 41"	1.0	--	-10	322531	2236568
Cuimba	Zaire	AO	-6° 07' 15"	 14° 37' 15"	1.0	--	-10	41878	2241623
Mbanza Kongo	Zaire	AO	-6° 16' 00"	 14° 14' 18"	1.0	--	-10	148000	2239520
