Alert	Nunavut	CA	 82° 31' 11"	-62° 16' 48"	-5.0	US	1.00
Alexis Creek	British Columbia	CA	 52° 05' 00"	-123° 17' 00"	-8.0	US	751.58
Algonquin		CA	 45° 57' 03"	-78° 04' 30"	-5.0	US	257.00
Alma	Quebec	CA	 48° 33' 00"	-71° 39' 00"	-5.0	US	79.25		5884083
Alonsa	Manitoba	CA	 50° 59' 00"	-99° 03' 00"	-6.0	US	267.00
Amherst	Nova Scotia	CA	 45° 50' 00"	-64° 12' 00"	-4.0	US	23.03		5884467
Amos	Quebec	CA	 48° 34' 00"	-78° 07' 00"	-5.0	US	301.12		5884588
Amqui	Quebec	CA	 48° 28' 00"	-67° 26' 06"	-5.0	US	153.70		6943488
Anahim Lake	British Columbia	CA	 52° 28' 00"	-125° 19' 00"	-8.0	US	1093.23
Antigonish	Nova Scotia	CA	 45° 37' 00"	-62° 00' 00"	-4.0	US	16.09		5886182
Anzac	Alberta	CA	 56° 27' 00"	-111° 02' 00"	-7.0	US	498.00
Arborg	Manitoba	CA	 50° 54' 26"	-97° 13' 01"	-6.0	US	226.00
Argentia	Newfoundland	CA	 47° 17' 39"	-53° 59' 41"	-3.5	US	4.00
Armstrong	Ontario	CA	 50° 18' 00"	-89° 02' 00"	-5.0	US	360.00
Arnold's Cove	Newfoundland	CA	 47° 46' 10"	-53° 59' 20"	-3.5	US	21.92
Ashern	Manitoba	CA	 51° 10' 56"	-98° 20' 44"	-6.0	US	269.00
Assiniboia	Saskatchewan	CA	 49° 38' 00"	-105° 59' 00"	-7.0	--	741.00		5887798
Athabasca	Alberta	CA	 54° 43' 00"	-113° 17' 00"	-7.0	US	544.35		5887916
Atikokan	Ontario	CA	 48° 46' 00"	-91° 37' 00"	-6.0	US	410.42		5888001
Auden	Ontario	CA	 50° 14' 00"	-87° 53' 00"	-5.0	US	318.00
Baddeck	Nova Scotia	CA	 46° 06' 00"	-60° 45' 00"	-4.0	US	5.78
Badger	Newfoundland	CA	 48° 59' 00"	-56° 02' 00"	-3.5	US	78.00
Baie Verte	Newfoundland	CA	 49° 56' 00"	-56° 11' 00"	-3.5	US	0.00
Baie-Comeau	Quebec	CA	 49° 08' 24"	-68° 10' 48"	-5.0	US	2.00		5889745
Baie-Saint-Paul	Quebec	CA	 47° 25' 00"	-70° 29' 00"	-5.0	US	203.76		6690232
Bancroft	Ontario	CA	 45° 02' 00"	-77° 45' 00"	-5.0	US	317.00		5892510
Banff	Alberta	CA	 51° 10' 47"	-115° 32' 59"	-7.0	US	1425.43		5892532
Barkerville	British Columbia	CA	 53° 04' 00"	-121° 31' 00"	-8.0	US	1286.84
Barrage Manic-3	Quebec	CA	 49° 45' 00"	-68° 37' 40"	-5.0	US	281.51
Barrage Manic-5	Quebec	CA	 50° 38' 49"	-68° 43' 35"	-5.0	US	207.00
Barrie	Ontario	CA	 44° 24' 00"	-79° 40' 00"	-5.0	US	267.37		5894171
Barry's Bay	Ontario	CA	 45° 29' 00"	-77° 41' 00"	-5.0	US	309.31
Bathurst	New Brunswick	CA	 47° 37' 34"	-65° 37' 42"	-4.0	US	0.00		6696259
Bay Bulls	Newfoundland	CA	 47° 19' 00"	-52° 49' 00"	-3.5	US	18.57
Beardmore	Ontario	CA	 49° 36' 00"	-87° 57' 00"	-5.0	US	340.23
Beaupre	Quebec	CA	 47° 03' 00"	-70° 54' 00"	-5.0	US	84.21		6325479
Beauval	Saskatchewan	CA	 55° 09' 00"	-107° 37' 00"	-7.0	--	428.00
Beaverlodge	Alberta	CA	 55° 13' 00"	-119° 26' 00"	-7.0	US	724.20		5896969
Beavermouth	British Columbia	CA	 51° 31' 00"	-117° 23' 00"	-8.0	US	818.81
Belleterre	Quebec	CA	 47° 23' 00"	-78° 42' 00"	-5.0	US	314.00
Belleville	Ontario	CA	 44° 14' 00"	-77° 21' 00"	-5.0	US	109.33		5897884
Big River	Saskatchewan	CA	 53° 50' 00"	-107° 01' 00"	-7.0	--	502.79
